image_path,true_label,anomaly_score,predicted_prob,predicted_label
data/raw/pipe_clip/pipe_clip/test/good/0000.png,0,41.69603,0.459,1
data/raw/pipe_clip/pipe_clip/test/good/0001.png,0,40.466484,0.206,1
data/raw/pipe_clip/pipe_clip/test/good/0002.png,0,40.847012,0.2843,1
data/raw/pipe_clip/pipe_clip/test/good/0003.png,0,40.986492,0.313,1
data/raw/pipe_clip/pipe_clip/test/good/0004.png,0,40.83049,0.2809,1
data/raw/pipe_clip/pipe_clip/test/good/0005.png,0,41.190197,0.3549,1
data/raw/pipe_clip/pipe_clip/test/good/0006.png,0,41.788433,0.4781,1
data/raw/pipe_clip/pipe_clip/test/good/0007.png,0,41.625912,0.4446,1
data/raw/pipe_clip/pipe_clip/test/good/0008.png,0,42.089287,0.54,1
data/raw/pipe_clip/pipe_clip/test/good/0009.png,0,39.875706,0.0844,0
data/raw/pipe_clip/pipe_clip/test/good/0010.png,0,42.853825,0.6973,1
data/raw/pipe_clip/pipe_clip/test/good/0011.png,0,39.651611,0.0383,0
data/raw/pipe_clip/pipe_clip/test/good/0012.png,0,41.362091,0.3903,1
data/raw/pipe_clip/pipe_clip/test/good/0013.png,0,40.965816,0.3088,1
data/raw/pipe_clip/pipe_clip/test/good/0014.png,0,40.059895,0.1223,0
data/raw/pipe_clip/pipe_clip/test/good/0015.png,0,40.148609,0.1406,0
data/raw/pipe_clip/pipe_clip/test/good/0016.png,0,41.440559,0.4065,1
data/raw/pipe_clip/pipe_clip/test/good/0017.png,0,39.786297,0.066,0
data/raw/pipe_clip/pipe_clip/test/good/0018.png,0,39.465538,0.0,0
data/raw/pipe_clip/pipe_clip/test/good/0019.png,0,41.865314,0.4939,1
data/raw/pipe_clip/pipe_clip/test/good/0020.png,0,40.201488,0.1515,1
data/raw/pipe_clip/pipe_clip/test/good/0021.png,0,40.909466,0.2972,1
data/raw/pipe_clip/pipe_clip/test/good/0022.png,0,41.416286,0.4015,1
